name,country_codes,countries
NEVA BALT LIMITED,EST,Estonia
TETRAEDR LIMITED,EST,Estonia
TRANQUILLO TRADING S.A.,LVA,Latvia
ATLAS GROUP ENTERPRISE S.A.,EST,Estonia
HANIEL GMBH,EST,Estonia
REGAL CAPITAL AND RESERVES S.A.,LTU,Lithuania
RC GROUP CORPORATION,LVA,Latvia
BAXMER INC.,EST,Estonia
TALLYFIELD S.A.,EST,Estonia
GLOBAL REINSURANCE BROKER INC.,LTU,Lithuania
JET TRADE GMBH,EST,Estonia
ALMARO MANAGEMENT LTD.,EST,Estonia
SUNNY BAY ENTERPRISES LIMITED,EST,Estonia
RUSMETALL LTD.,EST,Estonia
CRAMER LIMITED,EST,Estonia
PH ERSEN CORPORATION,EST,Estonia
SPECIALISED INTERREGIONAL HEDGE FUND INC.,EST,Estonia
PIPE COMPLETE SERVICE CORP.,LVA,Latvia
SIBNEFT OIL TRADE COMPANY LIMITED,EST,Estonia
TRUCK & TRAILER GMBH,EST,Estonia
FX TECHNOLOGY COMPANY LIMITED,EST,Estonia
FARAWAY Corp.,EST,Estonia
TVERAN TRADING CONSULTANTS INC.,EST,Estonia
BERE Ltd.,EST,Estonia
KSANMARINE CORP.,LTU,Lithuania
Centre Plus Limited,EST,Estonia
BRIMDALE INDUSTRIES CORP.,LVA,Latvia
BLUE MARLIN LIMITED,EST,Estonia
AZUR SKY COMPANY LTD.,EST,Estonia
ROCKSIDE ENTERPRISES INC.,LVA,Latvia
MK Holding Ltd.,EST,Estonia
PROPERTY ALLIANCE LTD.,EST,Estonia
EUROTOPS S.A.,EST,Estonia
VELASCO INTERNATIONAL LTD,EST,Estonia
"U.B.C.I., S.A.",LVA,Latvia
FRONTIER TECHNOLOGY TRADING CO.,EST,Estonia
LARSSEN CORPORATE SERVICES S.A.,EST,Estonia
JERNICO INTERNATIONAL S.A.,EST,Estonia
PREGO LINE CORP.,EST,Estonia
VERONTA ENTERPRISES LIMITED,LVA,Latvia
Task Inc.,EST,Estonia
RENVEKT LTD.,EST,Estonia
MERCER TRADE INC.,EST,Estonia
Globaks Investment Ltd.,EST,Estonia
NORSI ENTERPRISE S.A.,EST,Estonia
VEIS INC.,EST,Estonia
PERDIGAO AGROINDUSTRIAL BRAZIL S.A.,LVA,Latvia
Zircon Ltd,EST,Estonia
MAIN INVESTMENT COMPANY S.A.,LVA,Latvia
TEK POSEIDON LTD. S.A.,LVA,Latvia
BECKMANN JORGENSEN LTD.,EST,Estonia
MONROE TRADING LIMITED,EST,Estonia
SPRINGFIELD S.A.,EST,Estonia
ARKADIA INVESTMENTS LTD.,EST,Estonia
VORGEN INTERNATIONAL LTD.,EST,Estonia
BROOKS HOLDINGS S.A.,LTU,Lithuania
ALP INVESTMENTS  LTD.,EST,Estonia
KENTFORD CORPORATION,EST,Estonia
GRANGE EXPORT / IMPORT LIMITED,EST,Estonia
QUANTUM DEVELOPMENTS LTD.,EST,Estonia
DIAVERS G.C. LIMITED,EST,Estonia
TECHSERVICE LIMITED,LVA,Latvia
NANOTEX SYSTEMS CO.,LVA,Latvia
HYDRO-BIG S.A.,EST,Estonia
VIMET S.A.,EST,Estonia
LIVINGSTON INVESTMENT INC.,EST,Estonia
"BRINTEX TRADE, INC.",LVA,Latvia
WEST TECHNOLOGY GROUP INC.,LTU,Lithuania
CAMDEN TRADING CORPORATION,EST,Estonia
FINANCIAL KEY LTD.,LVA,Latvia
SMALWAY MANAGEMENT INC.,EST,Estonia
SATALORE INVESTMENTS LTD.,EST,Estonia
AVENGER G.D. LTD.,EST,Estonia
MERLANGUS LTD.,LTU,Lithuania
ORMOND & WESTERN LTD.,EST,Estonia
LARSSEN CORPORATE SERVICES LTD.,EST,Estonia
PICKFORD HOLDINGS LTD.,EST,Estonia
ZEREMO TRADE LTD.,EST,Estonia
LARDEN HOLDING INC.,EST,Estonia
AMBO TRADING CORP.,LTU,Lithuania
PARAGON INVESTMENTS LTD.,EST,Estonia
ALMEN INTERNATIONAL LTD.,EST,Estonia
CRAYSTON COMPANY,EST,Estonia
UNIKING GROUP LTD.,LVA,Latvia
LURIS LTD.,EST,Estonia
LAUREL INCORPORATED,EST,Estonia
MILRED CORPORATION,EST,Estonia
BLUEGRANGE ENTERPRISES INC.,EST,Estonia
ELECTRA SHIPPING S.A.,EST,Estonia
STOCKTON TRADE INC.,EST,Estonia
RANSOM CORPORATION,LTU,Lithuania
AVIAELECTRONICS LIMITED,LVA,Latvia
MYERS & CO TRADE LTD.,EST,Estonia
DELICA CORP.,LTU,Lithuania
BALTIC CROWN CORP.,LTU,Lithuania
MONTEREY INDUSTRIAL INC.,EST,Estonia
STUDEMAIER GMBH,EST,Estonia
ERNESTON INTERNATIONAL LTD.,EST,Estonia
ABNER PROPERTIES INC.,LTU,Lithuania
TELLER INTERNATIONAL S.A.,LTU,Lithuania
TECHPROMSTROY LIMITED,LVA,Latvia
PROMKOMPLEKT LIMITED,LVA,Latvia
DELTA LTD.,LVA,Latvia
APM FINANTS LTD.,EST,Estonia
BILLOT COMPANY LTD.,LTU,Lithuania
EQUITY INTERNATIONAL INVESTMENT GROUP S.A.,LVA,Latvia
PREATONI TRADING INC.,EST,Estonia
TEKO INTERNATIONAL LTD.,EST,Estonia
ELIMOS TRADE LTD.,EST,Estonia
QUEENLAND WINDOWS LTD.,EST,Estonia
SCHABER GMBH,EST,Estonia
GLOBAL SERVICES & COMMODITIES LTD.,EST,Estonia
DAWSON HOLDINGS CORP.,LTU,Lithuania
NORSI INTERNATIONAL S.A.,EST,Estonia
STENGEMANN AG,EST,Estonia
EUROTOPS S.A.,EST,Estonia
FINNMARK ENTERPRISES LTD.,LVA,Latvia
STAGHORN LIMITED,LTU,Lithuania
MATRIX SYSTEMS CORP.,LTU,Lithuania
BALTIC BUILDING AND DEVELOPMENT LTD.,LTU,Lithuania
POHJALA TRADING LTD.,EST,Estonia
AMIDA LAND CORPORATION,LTU,Lithuania
BERGELD SERVICES LTD.,EST,Estonia
LOHMAN PROPERTIES INC.,EST,Estonia
SEHESTEDTER AG,EST,Estonia
DOCTOR AND ALEX LTD.,LVA,Latvia
GUYOT LIMITED,EST,Estonia
WINE TRADE CORP.,LTU,Lithuania
BRONDY INTERNATIONAL CO.,LTU,Lithuania
PAVERA CORP.,LTU,Lithuania
PORT LEONESA S.A.,EST,Estonia
STENHUS HOLDINGS LTD.,EST,Estonia
SELTEKS LIMITED,EST,Estonia
BRADBURY SERVICES INC.,EST,Estonia
STEINFORD SUPPLIES INC.,EST,Estonia
BALTSUDOSERVICE LTD.,EST,Estonia
NATWAY OVERSEAS S.A.,EST,Estonia
HARTMANN AG,EST,Estonia
MERLOT COMMERCIAL INC.,LTU,Lithuania
